                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.4907,                 2.1372,                 1.7005,                 0.5083,                0.45216,                0.44342,                0.26343,                  1.516,                 1.8051,                 1.7782,               0.005149,               0.005149,               0.005149
                     51,                 1.4848,                 2.1218,                 1.6937,                0.50923,                0.45267,                0.44612,                0.26455,                 1.5151,                 1.7991,                 1.7769,                0.00505,                0.00505,                0.00505
                     52,                 1.4803,                 2.1204,                 1.6939,                0.51461,                0.45389,                0.44715,                0.26544,                 1.5146,                 1.7946,                 1.7755,               0.004951,               0.004951,               0.004951
                     53,                 1.4801,                 2.1229,                 1.6939,                   0.52,                0.45466,                0.44888,                0.26655,                 1.5135,                  1.789,                 1.7747,               0.004852,               0.004852,               0.004852
                     54,                 1.4794,                 2.1081,                 1.6929,                0.51991,                0.45923,                0.45177,                0.26869,                 1.5114,                 1.7812,                 1.7725,               0.004753,               0.004753,               0.004753
                     55,                 1.4722,                 2.0999,                  1.684,                 0.5257,                0.45994,                0.45441,                0.27056,                 1.5081,                 1.7755,                 1.7692,               0.004654,               0.004654,               0.004654
                     56,                 1.4748,                  2.105,                 1.6897,                0.52625,                0.45952,                0.45515,                0.27147,                 1.5048,                   1.77,                 1.7664,               0.004555,               0.004555,               0.004555
                     57,                 1.4739,                 2.0867,                  1.681,                0.52412,                0.46014,                0.45681,                0.27238,                 1.5026,                 1.7658,                 1.7645,               0.004456,               0.004456,               0.004456
                     58,                 1.4655,                 2.0852,                 1.6756,                0.52589,                0.46332,                0.45821,                 0.2736,                 1.5006,                 1.7627,                 1.7623,               0.004357,               0.004357,               0.004357
                     59,                 1.4627,                 2.0834,                 1.6759,                 0.5294,                 0.4613,                0.45946,                 0.2748,                 1.4986,                 1.7589,                 1.7607,               0.004258,               0.004258,               0.004258
                     60,                 1.4592,                 2.0726,                 1.6728,                0.53267,                0.45964,                0.46043,                0.27607,                 1.4969,                 1.7542,                 1.7588,               0.004159,               0.004159,               0.004159
                     61,                 1.4586,                  2.052,                 1.6698,                0.53706,                0.45883,                 0.4625,                0.27766,                 1.4954,                 1.7508,                 1.7572,                0.00406,                0.00406,                0.00406
                     62,                  1.459,                 2.0546,                 1.6706,                0.54124,                0.45816,                0.46404,                0.27844,                 1.4939,                 1.7461,                 1.7558,               0.003961,               0.003961,               0.003961
                     63,                 1.4584,                 2.0458,                 1.6724,                0.54823,                0.45736,                0.46416,                0.27926,                 1.4925,                 1.7422,                 1.7543,               0.003862,               0.003862,               0.003862
                     64,                 1.4535,                 2.0429,                 1.6649,                0.54514,                0.45988,                0.46521,                0.28016,                 1.4919,                 1.7387,                 1.7537,               0.003763,               0.003763,               0.003763
                     65,                 1.4538,                 2.0408,                 1.6631,                0.54297,                0.46247,                0.46585,                 0.2807,                 1.4914,                 1.7357,                 1.7528,               0.003664,               0.003664,               0.003664
                     66,                 1.4389,                 2.0233,                 1.6528,                0.54294,                0.46176,                 0.4667,                0.28142,                 1.4917,                 1.7318,                  1.753,               0.003565,               0.003565,               0.003565
